# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号|electricityBalance
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=23011109;2=23011110;3=23011111;4=23011112|0.0
05A栋|444|4|4|1=24052317;2=24052318;3=24052319;4=24052320|0.0
05A栋|445|4|4|1=24052321;2=24052322;3=24052323;4=24052324|0.0
05A栋|501|5|4|1=24052325;2=24052326;3=24052327;4=24052328|0.0
05A栋|502|5|4|1=24052329;2=24052330;3=24052331;4=24052332|0.0
05A栋|503|5|4|1=24052333;2=24052334;3=24052335;4=24052336|0.0
05A栋|504|5|4|1=24052337;2=24052338;3=24052339;4=24052340|0.0
05A栋|505|5|4|1=24052409;2=24052410;3=24052411;4=24052412|0.0
05A栋|506|5|4|1=24052413;2=24052414;3=24052415;4=24052416|0.0
05A栋|507|5|4|1=24052417;2=24052418;3=24052419;4=24052420|0.0
05A栋|508|5|4|1=24052421;2=24052422;3=24052423;4=24052424|0.0
05A栋|509|5|4|1=24052425;2=24052426;3=24052427;4=24052428|0.0
05A栋|510|5|4|1=24052429;2=24052430;3=24052431;4=24052432|0.0
05A栋|511|5|4|1=24052433;2=24052434;3=24052435;4=24052436|0.0
05A栋|512|5|4|1=24052437;2=24052438;3=24052439;4=24052440|0.0
05A栋|513|5|4|1=24053109;2=24053110;3=24053111;4=24053112|0.0
05A栋|514|5|4|1=24053113;2=24053114;3=24053115;4=24053116|0.0
05A栋|515|5|4|1=24053117;2=24053118;3=24053119;4=24053120|0.0
05A栋|516|5|4|1=24053121;2=24053122;3=24053123;4=24053124|0.0
05A栋|517|5|4|1=24053125;2=24053126;3=24053127;4=24053128|0.0
05A栋|518|5|4|1=24053129;2=24053130;3=24053131;4=24053132|0.0
05A栋|519|5|4|1=24053133;2=24053134;3=24053135;4=24053136|0.0
05A栋|520|5|4|1=24053137;2=24053138;3=24053139;4=24053140|0.0
05A栋|521|5|4|1=24053209;2=24053210;3=24053211;4=24053212|0.0
05A栋|522|5|4|1=24053213;2=24053214;3=24053215;4=24053216|0.0
05A栋|523|5|4|1=24053217;2=24053218;3=24053219;4=24053220|0.0
05A栋|524|5|4|1=24053221;2=24053222;3=24053223;4=24053224|0.0
05A栋|525|5|4|1=24053225;2=24053226;3=24053227;4=24053228|0.0
05A栋|526|5|4|1=24053229;2=24053230;3=24053231;4=24053232|0.0
05A栋|527|5|4|1=24053233;2=24053234;3=24053235;4=24053236|0.0
05A栋|528|5|4|1=24053237;2=24053238;3=24053239;4=24053240|0.0
05A栋|529|5|4|1=24053309;2=24053310;3=24053311;4=24053312|0.0
05A栋|530|5|4|1=24053313;2=24053314;3=24053315;4=24053316|0.0
05A栋|531|5|4|1=24053317;2=24053318;3=24053319;4=24053320|0.0
05A栋|532|5|4|1=24053321;2=24053322;3=24053323;4=24053324|0.0
05A栋|533|5|4|1=24053325;2=24053326;3=24053327;4=24053328|0.0
05A栋|534|5|4|1=24053329;2=24053330;3=24053331;4=24053332|0.0
05A栋|535|5|4|1=24053333;2=24053334;3=24053335;4=24053336|0.0
05A栋|536|5|4|1=24053337;2=24053338;3=24053339;4=24053340|0.0
05A栋|537|5|4|1=24053409;2=24053410;3=24053411;4=24053412|0.0
05A栋|538|5|4|1=24053413;2=24053414;3=24053415;4=24053416|0.0
05A栋|539|5|4|1=24053417;2=24053418;3=24053419;4=24053420|0.0
05A栋|540|5|4|1=24053421;2=24053422;3=24053423;4=24053424|0.0
05A栋|541|5|4|1=24053425;2=24053426;3=24053427;4=24053428|0.0
05A栋|542|5|4|1=24053429;2=24053430;3=24053431;4=24053432|0.0
05A栋|543|5|4|1=24053433;2=24053434;3=24053435;4=24053436|0.0
05A栋|544|5|4|1=24053437;2=24053438;3=24053439;4=24053440|0.0
05A栋|545|5|4|1=24054109;2=24054110;3=24054111;4=24054112|0.0
05A栋|601|6|4|1=24054113;2=24054114;3=24054115;4=24054116|0.0
05A栋|602|6|4|1=24054117;2=24054118;3=24054119;4=24054120|0.0
05A栋|603|6|4|1=24054121;2=24054122;3=24054123;4=24054124|0.0
05A栋|604|6|4|1=24054125;2=24054126;3=24054127;4=24054128|0.0
05A栋|605|6|4|1=24054129;2=24054130;3=24054131;4=24054132|0.0
05A栋|606|6|4|1=24054133;2=24054134;3=24054135;4=24054136|0.0
05A栋|607|6|4|1=24054137;2=24054138;3=24054139;4=24054140|0.0
05A栋|608|6|4|1=24054209;2=24054210;3=24054211;4=24054212|0.0
05A栋|609|6|4|1=24054213;2=24054214;3=24054215;4=24054216|0.0
05A栋|610|6|4|1=24054217;2=24054218;3=24054219;4=24054220|0.0
05A栋|611|6|4|1=24054221;2=24054222;3=24054223;4=24054224|0.0
05A栋|612|6|4|1=24054225;2=24054226;3=24054227;4=24054228|0.0
05A栋|613|6|4|1=24054229;2=24054230;3=24054231;4=24054232|0.0
05A栋|614|6|4|1=24054233;2=24054234;3=24054235;4=24054236|0.0
05A栋|615|6|4|1=24054237;2=24054238;3=24054239;4=24054240|0.0
05A栋|616|6|4|1=24054309;2=24054310;3=24054311;4=24054312|0.0
05A栋|617|6|4|1=24054313;2=24054314;3=24054315;4=24054316|0.0
05A栋|618|6|4|1=24054317;2=24054318;3=24054319;4=24054320|0.0
05A栋|619|6|4|1=24054321;2=24054322;3=24054323;4=24054324|0.0
05A栋|620|6|4|1=24054325;2=24054326;3=24054327;4=24054328|0.0
05A栋|621|6|4|1=24054329;2=24054330;3=24054331;4=24054332|0.0
05A栋|622|6|4|1=24054333;2=24054334;3=24054335;4=24054336|0.0
05A栋|623|6|4|1=24054337;2=24054338;3=24054339;4=24054340|0.0
05A栋|624|6|4|1=24054409;2=24054410;3=24054411;4=24054412|0.0
05A栋|625|6|4|1=24054413;2=24054414;3=24054415;4=24054416|0.0
05A栋|626|6|4|1=24054417;2=24054418;3=24054419;4=24054420|0.0
05A栋|627|6|4|1=24054421;2=24054422;3=24054423;4=24054424|0.0
05A栋|628|6|4|1=24054425;2=24054426;3=24054427;4=24054428|0.0
05A栋|629|6|4|1=24054429;2=24054430;3=24054431;4=24054432|0.0
05A栋|630|6|4|1=24054433;2=24054434;3=24054435;4=24054436|0.0
05A栋|631|6|4|1=24054437;2=24054438;3=24054439;4=24054440|0.0
05A栋|632|6|4|1=25051109;2=25051110;3=25051111;4=25051112|0.0
05A栋|633|6|4|1=25051113;2=25051114;3=25051115;4=25051116|0.0
05A栋|634|6|4|1=25051117;2=25051118;3=25051119;4=25051120|0.0
05A栋|635|6|4|1=25051121;2=25051122;3=25051123;4=25051124|0.0
05A栋|636|6|4|1=25051125;2=25051126;3=25051127;4=25051128|0.0
05A栋|637|6|4|1=25051129;2=25051130;3=25051131;4=25051132|0.0
05A栋|638|6|4|1=25051133;2=25051134;3=25051135;4=25051136|0.0
05A栋|639|6|4|1=25051137;2=25051138;3=25051139;4=25051140|0.0
05A栋|640|6|4|1=25051209;2=25051210;3=25051211;4=25051212|0.0
05A栋|641|6|4|1=25051213;2=25051214;3=25051215;4=25051216|0.0
05A栋|642|6|4|1=25051217;2=25051218;3=25051219;4=25051220|0.0
05A栋|643|6|4|1=25051221;2=25051222;3=25051223;4=25051224|0.0
05A栋|644|6|4|1=25051225;2=25051226;3=25051227;4=25051228|0.0
05A栋|645|6|4|1=25051229;2=25051230;3=25051231;4=25051232|0.0
05A栋|701|7|4|1=25051233;2=25051234;3=25051235;4=25051236|0.0
05A栋|702|7|4|1=25051237;2=25051238;3=25051239;4=25051240|0.0
05A栋|703|7|4|1=25051309;2=25051310;3=25051311;4=25051312|0.0
05A栋|704|7|4|1=25051313;2=25051314;3=25051315;4=25051316|0.0
05A栋|705|7|4|1=25051317;2=25051318;3=25051319;4=25051320|0.0
05A栋|706|7|4|1=25051321;2=25051322;3=25051323;4=25051324|0.0
05A栋|707|7|4|1=25051325;2=25051326;3=25051327;4=25051328|0.0
05A栋|708|7|4|1=25051329;2=25051330;3=25051331;4=25051332|0.0
05A栋|709|7|4|1=25051333;2=25051334;3=25051335;4=25051336|0.0
05A栋|710|7|4|1=25051337;2=25051338;3=25051339;4=25051340|0.0
05A栋|711|7|4|1=25051409;2=25051410;3=25051411;4=25051412|0.0
05A栋|712|7|4|1=25051413;2=25051414;3=25051415;4=25051416|0.0
05A栋|713|7|4|1=25051417;2=25051418;3=25051419;4=25051420|0.0
05A栋|714|7|4|1=25051421;2=25051422;3=25051423;4=25051424|0.0
05A栋|715|7|4|1=25051425;2=25051426;3=25051427;4=25051428|0.0
05A栋|716|7|4|1=25051429;2=25051430;3=25051431;4=25051432|0.0
05A栋|717|7|4|1=25051433;2=25051434;3=25051435;4=25051436|0.0
05A栋|718|7|4|1=25051437;2=25051438;3=25051439;4=25051440|0.0
05A栋|719|7|4|1=25052109;2=25052110;3=25052111;4=25052112|0.0
05A栋|720|7|4|1=25052113;2=25052114;3=25052115;4=25052116|0.0
05A栋|721|7|4|1=25052117;2=25052118;3=25052119;4=25052120|0.0
05A栋|722|7|4|1=25052121;2=25052122;3=25052123;4=25052124|0.0
05A栋|723|7|4|1=25052125;2=25052126;3=25052127;4=25052128|0.0
05A栋|724|7|4|1=25052129;2=25052130;3=25052131;4=25052132|0.0
05A栋|725|7|4|1=25052133;2=25052134;3=25052135;4=25052136|0.0
05A栋|726|7|4|1=25052137;2=25052138;3=25052139;4=25052140|0.0
05A栋|727|7|4|1=25052209;2=25052210;3=25052211;4=25052212|0.0
05A栋|728|7|4|1=25052213;2=25052214;3=25052215;4=25052216|0.0
05A栋|729|7|4|1=25052217;2=25052218;3=25052219;4=25052220|0.0
05A栋|730|7|4|1=25052221;2=25052222;3=25052223;4=25052224|0.0
05A栋|731|7|4|1=25052225;2=25052226;3=25052227;4=25052228|0.0
05A栋|732|7|4|1=25052229;2=25052230;3=25052231;4=25052232|0.0
05A栋|733|7|4|1=25052233;2=25052234;3=25052235;4=25052236|0.0
05A栋|734|7|4|1=25052237;2=25052238;3=25052239;4=25052240|0.0
05A栋|735|7|4|1=25052309;2=25052310;3=25052311;4=25052312|0.0
05A栋|736|7|4|1=25052313;2=25052314;3=25052315;4=25052316|0.0
05A栋|737|7|4|1=25052317;2=25052318;3=25052319;4=25052320|0.0
05A栋|738|7|4|1=25052321;2=25052322;3=25052323;4=25052324|0.0
05A栋|739|7|4|1=25052325;2=25052326;3=25052327;4=25052328|0.0
05A栋|740|7|4|1=25052329;2=25052330;3=25052331;4=25052332|0.0
05A栋|741|7|4|1=25052333;2=25052334;3=25052335;4=25052336|0.0
05A栋|742|7|4|1=25052337;2=25052338;3=25052339;4=25052340|0.0
05A栋|743|7|4|1=25052409;2=25052410;3=25052411;4=25052412|0.0
05A栋|744|7|4|1=25052413;2=25052414;3=25052415;4=25052416|0.0
05A栋|745|7|4|1=25052417;2=25052418;3=25052419;4=25052420|0.0
05A栋|801|8|4|1=25052421;2=25052422;3=25052423;4=25052424|0.0
05A栋|802|8|4|1=25052425;2=25052426;3=25052427;4=25052428|0.0
05A栋|803|8|4|1=25052429;2=25052430;3=25052431;4=25052432|0.0
05A栋|804|8|4|1=25052433;2=25052434;3=25052435;4=25052436|0.0
05A栋|805|8|4|1=25052437;2=25052438;3=25052439;4=25052440|0.0
05A栋|806|8|4|1=25053109;2=25053110;3=25053111;4=25053112|0.0
05A栋|807|8|4|1=25053113;2=25053114;3=25053115;4=25053116|0.0
05A栋|808|8|4|1=25053117;2=25053118;3=25053119;4=25053120|0.0
05A栋|809|8|4|1=25053121;2=25053122;3=25053123;4=25053124|0.0
05A栋|810|8|4|1=25053125;2=25053126;3=25053127;4=25053128|0.0
05A栋|811|8|4|1=25053129;2=25053130;3=25053131;4=25053132|0.0
05A栋|812|8|4|1=25053133;2=25053134;3=25053135;4=25053136|0.0
05A栋|813|8|4|1=25053137;2=25053138;3=25053139;4=25053140|0.0
05A栋|814|8|4|1=25053209;2=25053210;3=25053211;4=25053212|0.0
05A栋|815|8|4|1=25053213;2=25053214;3=25053215;4=25053216|0.0
05A栋|816|8|4|1=25053217;2=25053218;3=25053219;4=25053220|0.0
05A栋|817|8|4|1=25053221;2=25053222;3=25053223;4=25053224|0.0
05A栋|818|8|4|1=25053225;2=25053226;3=25053227;4=25053228|0.0
05A栋|819|8|4|1=25053229;2=25053230;3=25053231;4=25053232|0.0
05A栋|820|8|4|1=25053233;2=25053234;3=25053235;4=25053236|0.0
05A栋|821|8|4|1=25053237;2=25053238;3=25053239;4=25053240|0.0
05A栋|822|8|4|1=25053309;2=25053310;3=25053311;4=25053312|0.0
05A栋|823|8|4|1=25053313;2=25053314;3=25053315;4=25053316|0.0
05A栋|824|8|4|1=25053317;2=25053318;3=25053319;4=25053320|0.0
05A栋|825|8|4|1=25053321;2=25053322;3=25053323;4=25053324|0.0
05A栋|826|8|4|1=25053325;2=25053326;3=25053327;4=25053328|0.0
05A栋|827|8|4|1=25053329;2=25053330;3=25053331;4=25053332|0.0
05A栋|828|8|4|1=25053333;2=25053334;3=25053335;4=25053336|0.0
05A栋|829|8|4|1=25053337;2=25053338;3=25053339;4=25053340|0.0
05A栋|830|8|4|1=25053409;2=25053410;3=25053411;4=25053412|0.0
05A栋|831|8|4|1=25053413;2=25053414;3=25053415;4=25053416|0.0
05A栋|832|8|4|1=25053417;2=25053418;3=25053419;4=25053420|0.0
05A栋|833|8|4|1=25053421;2=25053422;3=25053423;4=25053424|0.0
05A栋|834|8|4|1=25053425;2=25053426;3=25053427;4=25053428|0.0
05A栋|835|8|4|1=25053429;2=25053430;3=25053431;4=25053432|0.0
05A栋|836|8|4|1=25053433;2=25053434;3=25053435;4=25053436|0.0
05A栋|837|8|4|1=25053437;2=25053438;3=25053439;4=25053440|0.0
05A栋|838|8|4|1=25054109;2=25054110;3=25054111;4=25054112|0.0
05A栋|839|8|4|1=25054113;2=25054114;3=25054115;4=25054116|0.0
05A栋|840|8|4|1=25054117;2=25054118;3=25054119;4=25054120|0.0
05A栋|841|8|4|1=25054121;2=25054122;3=25054123;4=25054124|0.0
05A栋|842|8|4|1=25054125;2=25054126;3=25054127;4=25054128|0.0
05A栋|843|8|4|1=25054129;2=25054130;3=25054131;4=25054132|0.0
05A栋|844|8|4|1=25054133;2=25054134;3=25054135;4=25054136|0.0
05A栋|845|8|4|1=25054137;2=25054138;3=25054139;4=25054140|0.0
05A栋|901|9|4|1=25054209;2=25054210;3=25054211;4=25054212|0.0
05A栋|902|9|4|1=25054213;2=25054214;3=25054215;4=25054216|0.0
05A栋|903|9|4|1=25054217;2=25054218;3=25054219;4=25054220|0.0
05A栋|904|9|4|1=25054221;2=25054222;3=25054223;4=25054224|0.0
05A栋|905|9|4|1=25054225;2=25054226;3=25054227;4=25054228|0.0
05A栋|906|9|4|1=25054229;2=25054230;3=25054231;4=25054232|0.0
05A栋|907|9|4|1=25054233;2=25054234;3=25054235;4=25054236|0.0
05A栋|908|9|4|1=25054237;2=25054238;3=25054239;4=25054240|0.0
05A栋|909|9|4|1=25054309;2=25054310;3=25054311;4=25054312|0.0
05A栋|910|9|4|1=25054313;2=25054314;3=25054315;4=25054316|0.0
05A栋|911|9|4|1=25054317;2=25054318;3=25054319;4=25054320|0.0
05A栋|912|9|4|1=25054321;2=25054322;3=25054323;4=25054324|0.0
05A栋|913|9|4|1=25054325;2=25054326;3=25054327;4=25054328|0.0
05A栋|914|9|4|1=25054329;2=25054330;3=25054331;4=25054332|0.0
05A栋|915|9|4|1=25054333;2=25054334;3=25054335;4=25054336|0.0
05A栋|916|9|4|1=25054337;2=25054338;3=25054339;4=25054340|0.0
05A栋|917|9|4|1=25054409;2=25054410;3=25054411;4=25054412|0.0
05A栋|918|9|4|1=25054413;2=25054414;3=25054415;4=25054416|0.0
05A栋|919|9|4|1=25054417;2=25054418;3=25054419;4=25054420|0.0
05A栋|920|9|4|1=25054421;2=25054422;3=25054423;4=25054424|0.0
05A栋|921|9|4|1=25054425;2=25054426;3=25054427;4=25054428|0.0
05A栋|922|9|4|1=25054429;2=25054430;3=25054431;4=25054432|0.0
05A栋|923|9|4|1=25054433;2=25054434;3=25054435;4=25054436|0.0
05A栋|924|9|4|1=25054437;2=25054438;3=25054439;4=25054440|0.0
05A栋|925|9|4|1=26051109;2=26051110;3=26051111;4=26051112|0.0
05A栋|926|9|4|1=26051113;2=26051114;3=26051115;4=26051116|0.0
05A栋|927|9|4|1=26051117;2=26051118;3=26051119;4=26051120|0.0
05A栋|928|9|4|1=26051121;2=26051122;3=26051123;4=26051124|0.0
05A栋|929|9|4|1=26051125;2=26051126;3=26051127;4=26051128|0.0
05A栋|930|9|4|1=26051129;2=26051130;3=26051131;4=26051132|0.0
05A栋|931|9|4|1=26051133;2=26051134;3=26051135;4=26051136|0.0
05A栋|932|9|4|1=26051137;2=26051138;3=26051139;4=26051140|0.0
05A栋|933|9|4|1=26051209;2=26051210;3=26051211;4=26051212|0.0
05A栋|934|9|4|1=26051213;2=26051214;3=26051215;4=26051216|0.0
05A栋|935|9|4|1=26051217;2=26051218;3=26051219;4=26051220|0.0
05A栋|936|9|4|1=26051221;2=26051222;3=26051223;4=26051224|0.0
05A栋|937|9|4|1=26051225;2=26051226;3=26051227;4=26051228|0.0
05A栋|938|9|4|1=26051229;2=26051230;3=26051231;4=26051232|0.0
05A栋|939|9|4|1=26051233;2=26051234;3=26051235;4=26051236|0.0
05A栋|940|9|4|1=26051237;2=26051238;3=26051239;4=26051240|0.0
05A栋|941|9|4|1=26051309;2=26051310;3=26051311;4=26051312|0.0
05A栋|942|9|4|1=26051313;2=26051314;3=26051315;4=26051316|0.0
05A栋|943|9|4|1=26051317;2=26051318;3=26051319;4=26051320|0.0
05A栋|944|9|4|1=26051321;2=26051322;3=26051323;4=26051324|0.0
05A栋|945|9|4|1=26051325;2=26051326;3=26051327;4=26051328|0.0
05A栋|1001|10|4|1=26051329;2=26051330;3=26051331;4=26051332|0.0
05A栋|1002|10|4|1=26051333;2=26051334;3=26051335;4=26051336|0.0
05A栋|1003|10|4|1=26051337;2=26051338;3=26051339;4=26051340|0.0
05A栋|1004|10|4|1=26051409;2=26051410;3=26051411;4=26051412|0.0
05A栋|1005|10|4|1=26051413;2=26051414;3=26051415;4=26051416|0.0
05A栋|1006|10|4|1=26051417;2=26051418;3=26051419;4=26051420|0.0
05A栋|1007|10|4|1=26051421;2=26051422;3=26051423;4=26051424|0.0
05A栋|1008|10|4|1=26051425;2=26051426;3=26051427;4=26051428|0.0
05A栋|1009|10|4|1=26051429;2=26051430;3=26051431;4=26051432|0.0
05A栋|1010|10|4|1=26051433;2=26051434;3=26051435;4=26051436|0.0
05A栋|1011|10|4|1=26051437;2=26051438;3=26051439;4=26051440|0.0
05A栋|1012|10|4|1=26052109;2=26052110;3=26052111;4=26052112|0.0
05A栋|1013|10|4|1=26052113;2=26052114;3=26052115;4=26052116|0.0
05A栋|1014|10|4|1=26052117;2=26052118;3=26052119;4=26052120|0.0
05A栋|1015|10|4|1=26052121;2=26052122;3=26052123;4=26052124|0.0
05A栋|1016|10|4|1=26052125;2=26052126;3=26052127;4=26052128|0.0
05A栋|1017|10|4|1=26052129;2=26052130;3=26052131;4=26052132|0.0
05A栋|1018|10|4|1=26052133;2=26052134;3=26052135;4=26052136|0.0
05A栋|1019|10|4|1=26052137;2=26052138;3=26052139;4=26052140|0.0
05A栋|1020|10|4|1=26052209;2=26052210;3=26052211;4=26052212|0.0
05A栋|1021|10|4|1=26052213;2=26052214;3=26052215;4=26052216|0.0
05A栋|1022|10|4|1=26052217;2=26052218;3=26052219;4=26052220|0.0
05A栋|1023|10|4|1=26052221;2=26052222;3=26052223;4=26052224|0.0
05A栋|1024|10|4|1=26052225;2=26052226;3=26052227;4=26052228|0.0
05A栋|1025|10|4|1=26052229;2=26052230;3=26052231;4=26052232|0.0
05A栋|1026|10|4|1=26052233;2=26052234;3=26052235;4=26052236|0.0
05A栋|1027|10|4|1=26052237;2=26052238;3=26052239;4=26052240|0.0
05A栋|1028|10|4|1=26052309;2=26052310;3=26052311;4=26052312|0.0
05A栋|1029|10|4|1=26052313;2=26052314;3=26052315;4=26052316|0.0
05A栋|1030|10|4|1=26052317;2=26052318;3=26052319;4=26052320|0.0
05A栋|1031|10|4|1=26052321;2=26052322;3=26052323;4=26052324|0.0
05A栋|1032|10|4|1=26052325;2=26052326;3=26052327;4=26052328|0.0
05A栋|1033|10|4|1=26052329;2=26052330;3=26052331;4=26052332|0.0
05A栋|1034|10|4|1=26052333;2=26052334;3=26052335;4=26052336|0.0
05A栋|1035|10|4|1=26052337;2=26052338;3=26052339;4=26052340|0.0
05A栋|1036|10|4|1=26052409;2=26052410;3=26052411;4=26052412|0.0
05A栋|1037|10|4|1=26052413;2=26052414;3=26052415;4=26052416|0.0
05A栋|1038|10|4|1=26052417;2=26052418;3=26052419;4=26052420|0.0
05A栋|1039|10|4|1=26052421;2=26052422;3=26052423;4=26052424|0.0
05A栋|1040|10|4|1=26052425;2=26052426;3=26052427;4=26052428|0.0
05A栋|1041|10|4|1=26052429;2=26052430;3=26052431;4=26052432|0.0
05A栋|1042|10|4|1=26052433;2=26052434;3=26052435;4=26052436|0.0
05A栋|1043|10|4|1=26052437;2=26052438;3=26052439;4=26052440|0.0
05A栋|1044|10|4|1=26053109;2=26053110;3=26053111;4=26053112|0.0
05A栋|1045|10|4|1=26053113;2=26053114;3=26053115;4=26053116|0.0
05A栋|1101|11|4|1=26053117;2=26053118;3=26053119;4=26053120|0.0
05A栋|1102|11|4|1=26053121;2=26053122;3=26053123;4=26053124|0.0
05A栋|1103|11|4|1=26053125;2=26053126;3=26053127;4=26053128|0.0
05A栋|1104|11|4|1=26053129;2=26053130;3=26053131;4=26053132|0.0
05A栋|1105|11|4|1=26053133;2=26053134;3=26053135;4=26053136|0.0
05A栋|1106|11|4|1=26053137;2=26053138;3=26053139;4=26053140|0.0
05A栋|1107|11|4|1=26053209;2=26053210;3=26053211;4=26053212|0.0
05A栋|1108|11|4|1=26053213;2=26053214;3=26053215;4=26053216|0.0
05A栋|1109|11|4|1=26053217;2=26053218;3=26053219;4=26053220|0.0
05A栋|1110|11|4|1=26053221;2=26053222;3=26053223;4=26053224|0.0
05A栋|1111|11|4|1=26053225;2=26053226;3=26053227;4=26053228|0.0
05A栋|1112|11|4|1=26053229;2=26053230;3=26053231;4=26053232|0.0
05A栋|1113|11|4|1=26053233;2=26053234;3=26053235;4=26053236|0.0
05A栋|1114|11|4|1=26053237;2=26053238;3=26053239;4=26053240|0.0
05A栋|1115|11|4|1=26053309;2=26053310;3=26053311;4=26053312|0.0
05A栋|1116|11|4|1=26053313;2=26053314;3=26053315;4=26053316|0.0
05A栋|1117|11|4|1=26053317;2=26053318;3=26053319;4=26053320|0.0
05A栋|1118|11|4|1=26053321;2=26053322;3=26053323;4=26053324|0.0
05A栋|1119|11|4|1=26053325;2=26053326;3=26053327;4=26053328|0.0
05A栋|1120|11|4|1=26053329;2=26053330;3=26053331;4=26053332|0.0
05A栋|1121|11|4|1=26053333;2=26053334;3=26053335;4=26053336|0.0
05A栋|1122|11|4|1=26053337;2=26053338;3=26053339;4=26053340|0.0
05A栋|1123|11|4|1=26053409;2=26053410;3=26053411;4=26053412|0.0
05A栋|1124|11|4|1=26053413;2=26053414;3=26053415;4=26053416|0.0
05A栋|1125|11|4|1=26053417;2=26053418;3=26053419;4=26053420|0.0
05A栋|1126|11|4|1=26053421;2=26053422;3=26053423;4=26053424|0.0
05A栋|1127|11|4|1=26053425;2=26053426;3=26053427;4=26053428|0.0
05A栋|1128|11|4|1=26053429;2=26053430;3=26053431;4=26053432|0.0
05A栋|1129|11|4|1=26053433;2=26053434;3=26053435;4=26053436|0.0
05A栋|1130|11|4|1=26053437;2=26053438;3=26053439;4=26053440|0.0
05A栋|1131|11|4|1=26054109;2=26054110;3=26054111;4=26054112|0.0
05A栋|1132|11|4|1=26054113;2=26054114;3=26054115;4=26054116|0.0
05A栋|1133|11|4|1=26054117;2=26054118;3=26054119;4=26054120|0.0
05A栋|1134|11|4|1=26054121;2=26054122;3=26054123;4=26054124|0.0
05A栋|1135|11|4|1=26054125;2=26054126;3=26054127;4=26054128|0.0
05A栋|1136|11|4|1=26054129;2=26054130;3=26054131;4=26054132|0.0
05A栋|1137|11|4|1=26054133;2=26054134;3=26054135;4=26054136|0.0
05A栋|1138|11|4|1=26054137;2=26054138;3=26054139;4=26054140|0.0
05A栋|1139|11|4|1=26054209;2=26054210;3=26054211;4=26054212|0.0
05A栋|1140|11|4|1=26054213;2=26054214;3=26054215;4=26054216|0.0
05A栋|1141|11|4|1=26054217;2=26054218;3=26054219;4=26054220|0.0
05A栋|1142|11|4|1=26054221;2=26054222;3=26054223;4=26054224|0.0
05A栋|1143|11|4|1=26054225;2=26054226;3=26054227;4=26054228|0.0
05A栋|1144|11|4|1=26054229;2=26054230;3=26054231;4=26054232|0.0
05A栋|1145|11|4|1=26054233;2=26054234;3=26054235;4=26054236|0.0
05A栋|1201|12|4|1=26054237;2=26054238;3=26054239;4=26054240|0.0
05A栋|1202|12|4|1=26054309;2=26054310;3=26054311;4=26054312|0.0
05A栋|1203|12|4|1=26054313;2=26054314;3=26054315;4=26054316|0.0
05A栋|1204|12|4|1=26054317;2=26054318;3=26054319;4=26054320|0.0
05A栋|1205|12|4|1=26054321;2=26054322;3=26054323;4=26054324|0.0
05A栋|1206|12|4|1=26054325;2=26054326;3=26054327;4=26054328|0.0
05A栋|1207|12|4|1=26054329;2=26054330;3=26054331;4=26054332|0.0
05A栋|1208|12|4|1=26054333;2=26054334;3=26054335;4=26054336|0.0
05A栋|1209|12|4|1=26054337;2=26054338;3=26054339;4=26054340|0.0
05A栋|1210|12|4|1=26054409;2=26054410;3=26054411;4=26054412|0.0
05A栋|1211|12|4|1=26054413;2=26054414;3=26054415;4=26054416|0.0
05A栋|1212|12|4|1=26054417;2=26054418;3=26054419;4=26054420|0.0
05A栋|1213|12|4|1=26054421;2=26054422;3=26054423;4=26054424|0.0
05A栋|1214|12|4|1=26054425;2=26054426;3=26054427;4=26054428|0.0
05A栋|1215|12|4|1=26054429;2=26054430;3=26054431;4=26054432|0.0
05A栋|1216|12|4|1=26054433;2=26054434;3=26054435;4=26054436|0.0
05A栋|1217|12|4|1=26054437;2=26054438;3=26054439;4=26054440|0.0
05A栋|1218|12|4|1=;2=;3=;4=|0.0
05A栋|1219|12|4|1=;2=;3=;4=|0.0
05A栋|1220|12|4|1=;2=;3=;4=|0.0
05A栋|1221|12|4|1=;2=;3=;4=|0.0
05A栋|1222|12|4|1=;2=;3=;4=|0.0
05A栋|1223|12|4|1=;2=;3=;4=|0.0
05A栋|1224|12|4|1=;2=;3=;4=|0.0
05A栋|1225|12|4|1=;2=;3=;4=|0.0
05A栋|1226|12|4|1=;2=;3=;4=|0.0
05A栋|1227|12|4|1=;2=;3=;4=|0.0
05A栋|1228|12|4|1=;2=;3=;4=|0.0
05A栋|1229|12|4|1=;2=;3=;4=|0.0
05A栋|1230|12|4|1=;2=;3=;4=|0.0
05A栋|1231|12|4|1=;2=;3=;4=|0.0
05A栋|1232|12|4|1=;2=;3=;4=|0.0
05A栋|1233|12|4|1=;2=;3=;4=|0.0
05A栋|1234|12|4|1=;2=;3=;4=|0.0
05A栋|1235|12|4|1=;2=;3=;4=|0.0
05A栋|1236|12|4|1=;2=;3=;4=|0.0
05A栋|1237|12|4|1=;2=;3=;4=|0.0
05A栋|1238|12|4|1=;2=;3=;4=|0.0
05A栋|1239|12|4|1=;2=;3=;4=|0.0
05A栋|1240|12|4|1=;2=;3=;4=|0.0
05A栋|1241|12|4|1=;2=;3=;4=|0.0
05A栋|1242|12|4|1=;2=;3=;4=|0.0
05A栋|1243|12|4|1=;2=;3=;4=|0.0
