# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=24011109;2=24011110;3=24011111;4=24011112
05A栋|308|3|4|1=24054113;2=24054114;3=24054115;4=24054116
05A栋|309|3|4|1=24054117;2=24054118;3=24054119;4=24054120
05A栋|310|3|4|1=24054121;2=24054122;3=24054123;4=24054124
05A栋|311|3|4|1=24054125;2=24054126;3=24054127;4=24054128
05A栋|312|3|4|1=24054129;2=24054130;3=24054131;4=24054132
05A栋|313|3|4|1=24054133;2=24054134;3=24054135;4=24054136
05A栋|314|3|4|1=24054137;2=24054138;3=24054139;4=24054140
05A栋|315|3|4|1=24054209;2=24054210;3=24054211;4=24054212
05A栋|316|3|4|1=24054213;2=24054214;3=24054215;4=24054216
05A栋|317|3|4|1=24054217;2=24054218;3=24054219;4=24054220
05A栋|318|3|4|1=24054221;2=24054222;3=24054223;4=24054224
05A栋|319|3|4|1=24054225;2=24054226;3=24054227;4=24054228
05A栋|320|3|4|1=24054229;2=24054230;3=24054231;4=24054232
05A栋|321|3|4|1=24054233;2=24054234;3=24054235;4=24054236
05A栋|322|3|4|1=24054237;2=24054238;3=24054239;4=24054240
05A栋|323|3|4|1=24054309;2=24054310;3=24054311;4=24054312
05A栋|324|3|4|1=24054313;2=24054314;3=24054315;4=24054316
05A栋|325|3|4|1=24054317;2=24054318;3=24054319;4=24054320
05A栋|326|3|4|1=24054321;2=24054322;3=24054323;4=24054324
05A栋|327|3|4|1=24054325;2=24054326;3=24054327;4=24054328
05A栋|328|3|4|1=24054329;2=24054330;3=24054331;4=24054332
05A栋|329|3|4|1=24054333;2=24054334;3=24054335;4=24054336
05A栋|330|3|4|1=24054337;2=24054338;3=24054339;4=24054340
05A栋|331|3|4|1=24054409;2=24054410;3=24054411;4=24054412
05A栋|332|3|4|1=24054413;2=24054414;3=24054415;4=24054416
05A栋|333|3|4|1=24054417;2=24054418;3=24054419;4=24054420
05A栋|334|3|4|1=24054421;2=24054422;3=24054423;4=24054424
05A栋|335|3|4|1=24054425;2=24054426;3=24054427;4=24054428
05A栋|336|3|4|1=24054429;2=24054430;3=24054431;4=24054432
05A栋|337|3|4|1=24054433;2=24054434;3=24054435;4=24054436
05A栋|338|3|4|1=24054437;2=24054438;3=24054439;4=24054440
05A栋|339|3|4|1=25051109;2=25051110;3=25051111;4=25051112
05A栋|340|3|4|1=25051113;2=25051114;3=25051115;4=25051116
05A栋|341|3|4|1=25051117;2=25051118;3=25051119;4=25051120
05A栋|342|3|4|1=25051121;2=25051122;3=25051123;4=25051124
05A栋|343|3|4|1=25051125;2=25051126;3=25051127;4=25051128
05A栋|344|3|4|1=25051129;2=25051130;3=25051131;4=25051132
05A栋|345|3|4|1=25051133;2=25051134;3=25051135;4=25051136
05A栋|401|4|4|1=25051137;2=25051138;3=25051139;4=25051140
05A栋|402|4|4|1=25051209;2=25051210;3=25051211;4=25051212
05A栋|403|4|4|1=25051213;2=25051214;3=25051215;4=25051216
05A栋|404|4|4|1=25051217;2=25051218;3=25051219;4=25051220
05A栋|405|4|4|1=25051221;2=25051222;3=25051223;4=25051224
05A栋|406|4|4|1=25051225;2=25051226;3=25051227;4=25051228
05A栋|407|4|4|1=25051229;2=25051230;3=25051231;4=25051232
05A栋|408|4|4|1=25051233;2=25051234;3=25051235;4=25051236
05A栋|409|4|4|1=25051237;2=25051238;3=25051239;4=25051240
05A栋|410|4|4|1=25051309;2=25051310;3=25051311;4=25051312
05A栋|411|4|4|1=25051313;2=25051314;3=25051315;4=25051316
05A栋|412|4|4|1=25051317;2=25051318;3=25051319;4=25051320
05A栋|413|4|4|1=25051321;2=25051322;3=25051323;4=25051324
05A栋|414|4|4|1=25051325;2=25051326;3=25051327;4=25051328
05A栋|415|4|4|1=25051329;2=25051330;3=25051331;4=25051332
05A栋|416|4|4|1=25051333;2=25051334;3=25051335;4=25051336
05A栋|417|4|4|1=25051337;2=25051338;3=25051339;4=25051340
05A栋|418|4|4|1=25051409;2=25051410;3=25051411;4=25051412
05A栋|419|4|4|1=25051413;2=25051414;3=25051415;4=25051416
05A栋|420|4|4|1=25051417;2=25051418;3=25051419;4=25051420
05A栋|421|4|4|1=25051421;2=25051422;3=25051423;4=25051424
05A栋|422|4|4|1=25051425;2=25051426;3=25051427;4=25051428
05A栋|423|4|4|1=25051429;2=25051430;3=25051431;4=25051432
05A栋|424|4|4|1=25051433;2=25051434;3=25051435;4=25051436
05A栋|425|4|4|1=25051437;2=25051438;3=25051439;4=25051440
05A栋|426|4|4|1=25052109;2=25052110;3=25052111;4=25052112
05A栋|427|4|4|1=25052113;2=25052114;3=25052115;4=25052116
05A栋|428|4|4|1=25052117;2=25052118;3=25052119;4=25052120
05A栋|429|4|4|1=25052121;2=25052122;3=25052123;4=25052124
05A栋|430|4|4|1=25052125;2=25052126;3=25052127;4=25052128
05A栋|431|4|4|1=25052129;2=25052130;3=25052131;4=25052132
05A栋|432|4|4|1=25052133;2=25052134;3=25052135;4=25052136
05A栋|433|4|4|1=25052137;2=25052138;3=25052139;4=25052140
05A栋|434|4|4|1=25052209;2=25052210;3=25052211;4=25052212
05A栋|435|4|4|1=25052213;2=25052214;3=25052215;4=25052216
05A栋|436|4|4|1=25052217;2=25052218;3=25052219;4=25052220
05A栋|437|4|4|1=25052221;2=25052222;3=25052223;4=25052224
05A栋|438|4|4|1=25052225;2=25052226;3=25052227;4=25052228
05A栋|439|4|4|1=25052229;2=25052230;3=25052231;4=25052232
05A栋|440|4|4|1=25052233;2=25052234;3=25052235;4=25052236
05A栋|441|4|4|1=25052237;2=25052238;3=25052239;4=25052240
05A栋|442|4|4|1=25052309;2=25052310;3=25052311;4=25052312
05A栋|443|4|4|1=25052313;2=25052314;3=25052315;4=25052316
05A栋|444|4|4|1=25052317;2=25052318;3=25052319;4=25052320
05A栋|445|4|4|1=25052321;2=25052322;3=25052323;4=25052324
05A栋|501|5|4|1=25052325;2=25052326;3=25052327;4=25052328
05A栋|502|5|4|1=25052329;2=25052330;3=25052331;4=25052332
05A栋|503|5|4|1=25052333;2=25052334;3=25052335;4=25052336
05A栋|504|5|4|1=25052337;2=25052338;3=25052339;4=25052340
05A栋|505|5|4|1=25052409;2=25052410;3=25052411;4=25052412
05A栋|506|5|4|1=25052413;2=25052414;3=25052415;4=25052416
05A栋|507|5|4|1=25052417;2=25052418;3=25052419;4=25052420
05A栋|508|5|4|1=25052421;2=25052422;3=25052423;4=25052424
05A栋|509|5|4|1=25052425;2=25052426;3=25052427;4=25052428
05A栋|510|5|4|1=25052429;2=25052430;3=25052431;4=25052432
05A栋|511|5|4|1=25052433;2=25052434;3=25052435;4=25052436
05A栋|512|5|4|1=25052437;2=25052438;3=25052439;4=25052440
05A栋|513|5|4|1=25053109;2=25053110;3=25053111;4=25053112
05A栋|514|5|4|1=25053113;2=25053114;3=25053115;4=25053116
05A栋|515|5|4|1=25053117;2=25053118;3=25053119;4=25053120
05A栋|516|5|4|1=25053121;2=25053122;3=25053123;4=25053124
05A栋|517|5|4|1=25053125;2=25053126;3=25053127;4=25053128
05A栋|518|5|4|1=25053129;2=25053130;3=25053131;4=25053132
05A栋|519|5|4|1=25053133;2=25053134;3=25053135;4=25053136
05A栋|520|5|4|1=25053137;2=25053138;3=25053139;4=25053140
05A栋|521|5|4|1=25053209;2=25053210;3=25053211;4=25053212
05A栋|522|5|4|1=25053213;2=25053214;3=25053215;4=25053216
05A栋|523|5|4|1=25053217;2=25053218;3=25053219;4=25053220
05A栋|524|5|4|1=25053221;2=25053222;3=25053223;4=25053224
05A栋|525|5|4|1=25053225;2=25053226;3=25053227;4=25053228
05A栋|526|5|4|1=25053229;2=25053230;3=25053231;4=25053232
05A栋|527|5|4|1=25053233;2=25053234;3=25053235;4=25053236
05A栋|528|5|4|1=25053237;2=25053238;3=25053239;4=25053240
05A栋|529|5|4|1=25053309;2=25053310;3=25053311;4=25053312
05A栋|530|5|4|1=25053313;2=25053314;3=25053315;4=25053316
05A栋|531|5|4|1=25053317;2=25053318;3=25053319;4=25053320
05A栋|532|5|4|1=25053321;2=25053322;3=25053323;4=25053324
05A栋|533|5|4|1=25053325;2=25053326;3=25053327;4=25053328
05A栋|534|5|4|1=25053329;2=25053330;3=25053331;4=25053332
05A栋|535|5|4|1=25053333;2=25053334;3=25053335;4=25053336
05A栋|536|5|4|1=25053337;2=25053338;3=25053339;4=25053340
05A栋|537|5|4|1=25053409;2=25053410;3=25053411;4=25053412
05A栋|538|5|4|1=25053413;2=25053414;3=25053415;4=25053416
05A栋|539|5|4|1=25053417;2=25053418;3=25053419;4=25053420
05A栋|540|5|4|1=25053421;2=25053422;3=25053423;4=25053424
05A栋|541|5|4|1=25053425;2=25053426;3=25053427;4=25053428
05A栋|542|5|4|1=25053429;2=25053430;3=25053431;4=25053432
05A栋|543|5|4|1=25053433;2=25053434;3=25053435;4=25053436
05A栋|544|5|4|1=25053437;2=25053438;3=25053439;4=25053440
05A栋|545|5|4|1=25054109;2=25054110;3=25054111;4=25054112
05A栋|601|6|4|1=25054113;2=25054114;3=25054115;4=25054116
05A栋|602|6|4|1=25054117;2=25054118;3=25054119;4=25054120
05A栋|603|6|4|1=25054121;2=25054122;3=25054123;4=25054124
05A栋|604|6|4|1=25054125;2=25054126;3=25054127;4=25054128
05A栋|605|6|4|1=25054129;2=25054130;3=25054131;4=25054132
05A栋|606|6|4|1=25054133;2=25054134;3=25054135;4=25054136
05A栋|607|6|4|1=25054137;2=25054138;3=25054139;4=25054140
05A栋|608|6|4|1=25054209;2=25054210;3=25054211;4=25054212
05A栋|609|6|4|1=25054213;2=25054214;3=25054215;4=25054216
05A栋|610|6|4|1=25054217;2=25054218;3=25054219;4=25054220
05A栋|611|6|4|1=25054221;2=25054222;3=25054223;4=25054224
05A栋|612|6|4|1=25054225;2=25054226;3=25054227;4=25054228
05A栋|613|6|4|1=25054229;2=25054230;3=25054231;4=25054232
05A栋|614|6|4|1=25054233;2=25054234;3=25054235;4=25054236
05A栋|615|6|4|1=25054237;2=25054238;3=25054239;4=25054240
05A栋|616|6|4|1=25054309;2=25054310;3=25054311;4=25054312
05A栋|617|6|4|1=25054313;2=25054314;3=25054315;4=25054316
05A栋|618|6|4|1=25054317;2=25054318;3=25054319;4=25054320
05A栋|619|6|4|1=25054321;2=25054322;3=25054323;4=25054324
05A栋|620|6|4|1=25054325;2=25054326;3=25054327;4=25054328
05A栋|621|6|4|1=25054329;2=25054330;3=25054331;4=25054332
05A栋|622|6|4|1=25054333;2=25054334;3=25054335;4=25054336
05A栋|623|6|4|1=25054337;2=25054338;3=25054339;4=25054340
05A栋|624|6|4|1=25054409;2=25054410;3=25054411;4=25054412
05A栋|625|6|4|1=25054413;2=25054414;3=25054415;4=25054416
05A栋|626|6|4|1=25054417;2=25054418;3=25054419;4=25054420
05A栋|627|6|4|1=25054421;2=25054422;3=25054423;4=25054424
05A栋|628|6|4|1=25054425;2=25054426;3=25054427;4=25054428
05A栋|629|6|4|1=25054429;2=25054430;3=25054431;4=25054432
05A栋|630|6|4|1=25054433;2=25054434;3=25054435;4=25054436
05A栋|631|6|4|1=25054437;2=25054438;3=25054439;4=25054440
05A栋|632|6|4|1=;2=;3=;4=
05A栋|633|6|4|1=;2=;3=;4=
05A栋|634|6|4|1=;2=;3=;4=
05A栋|635|6|4|1=;2=;3=;4=
05A栋|636|6|4|1=;2=;3=;4=
05A栋|637|6|4|1=;2=;3=;4=
05A栋|638|6|4|1=;2=;3=;4=
05A栋|639|6|4|1=;2=;3=;4=
05A栋|640|6|4|1=;2=;3=;4=
05A栋|641|6|4|1=;2=;3=;4=
05A栋|642|6|4|1=;2=;3=;4=
05A栋|643|6|4|1=;2=;3=;4=
05A栋|644|6|4|1=;2=;3=;4=
05A栋|645|6|4|1=;2=;3=;4=
05B栋|101|1|4|1=24051101;2=24051102;3=24051103;4=24051104
05B栋|102|1|4|1=24051105;2=24051106;3=24051107;4=24051108
05B栋|103|1|4|1=24051201;2=24051202;3=24051203;4=24051204
05B栋|104|1|4|1=24051205;2=24051206;3=24051207;4=24051208
05B栋|105|1|4|1=24051301;2=24051302;3=24051303;4=24051304
05B栋|106|1|4|1=24051305;2=24051306;3=24051307;4=24051308
05B栋|107|1|4|1=24051401;2=24051402;3=24051403;4=24051404
05B栋|108|1|4|1=24051405;2=24051406;3=24051407;4=24051408
05B栋|109|1|4|1=24052101;2=24052102;3=24052103;4=24052104
05B栋|110|1|4|1=24052105;2=24052106;3=24052107;4=24052108
05B栋|111|1|4|1=24052201;2=24052202;3=24052203;4=24052204
05B栋|112|1|4|1=24052205;2=24052206;3=24052207;4=24052208
05B栋|113|1|4|1=24052301;2=24052302;3=24052303;4=24052304
05B栋|114|1|4|1=24052305;2=24052306;3=24052307;4=24052308
05B栋|115|1|4|1=24052401;2=24052402;3=24052403;4=24052404
05B栋|116|1|4|1=24052405;2=24052406;3=24052407;4=24052408
05B栋|117|1|4|1=24053101;2=24053102;3=24053103;4=24053104
05B栋|118|1|4|1=24053105;2=24053106;3=24053107;4=24053108
05B栋|119|1|4|1=24053201;2=24053202;3=24053203;4=24053204
05B栋|120|1|4|1=24053205;2=24053206;3=24053207;4=24053208
05B栋|121|1|4|1=24053301;2=24053302;3=24053303;4=24053304
05B栋|122|1|4|1=24053305;2=24053306;3=24053307;4=24053308
05B栋|123|1|4|1=24053401;2=24053402;3=24053403;4=24053404
05B栋|124|1|4|1=24053405;2=24053406;3=24053407;4=24053408
05B栋|125|1|4|1=24054101;2=24054102;3=24054103;4=24054104
05B栋|126|1|4|1=24054105;2=24054106;3=24054107;4=24054108
05B栋|127|1|4|1=24054201;2=24054202;3=24054203;4=24054204
05B栋|128|1|4|1=24054205;2=24054206;3=24054207;4=24054208
05B栋|129|1|4|1=24054301;2=24054302;3=24054303;4=24054304
05B栋|130|1|4|1=24054305;2=24054306;3=24054307;4=24054308
05B栋|131|1|4|1=24054401;2=24054402;3=24054403;4=24054404
05B栋|132|1|4|1=24054405;2=24054406;3=24054407;4=24054408
05B栋|133|1|4|1=25051101;2=25051102;3=25051103;4=25051104
05B栋|134|1|4|1=25051105;2=25051106;3=25051107;4=25051108
05B栋|135|1|4|1=25051201;2=25051202;3=25051203;4=25051204
05B栋|136|1|4|1=25051205;2=25051206;3=25051207;4=25051208
05B栋|137|1|4|1=25051301;2=25051302;3=25051303;4=25051304
05B栋|138|1|4|1=25051305;2=25051306;3=25051307;4=25051308
05B栋|139|1|4|1=25051401;2=25051402;3=25051403;4=25051404
05B栋|140|1|4|1=25051405;2=25051406;3=25051407;4=25051408
05B栋|141|1|4|1=25052101;2=25052102;3=25052103;4=25052104
05B栋|142|1|4|1=25052105;2=25052106;3=25052107;4=25052108
05B栋|143|1|4|1=25052201;2=25052202;3=25052203;4=25052204
05B栋|144|1|4|1=25052205;2=25052206;3=25052207;4=25052208
05B栋|145|1|4|1=25052301;2=25052302;3=25052303;4=25052304
05B栋|201|2|4|1=25052305;2=25052306;3=25052307;4=25052308
05B栋|202|2|4|1=25052401;2=25052402;3=25052403;4=25052404
05B栋|203|2|4|1=25052405;2=25052406;3=25052407;4=25052408
05B栋|204|2|4|1=25053101;2=25053102;3=25053103;4=25053104
05B栋|205|2|4|1=25053105;2=25053106;3=25053107;4=25053108
05B栋|206|2|4|1=25053201;2=25053202;3=25053203;4=25053204
05B栋|207|2|4|1=25053205;2=25053206;3=25053207;4=25053208
05B栋|208|2|4|1=25053301;2=25053302;3=25053303;4=25053304
05B栋|209|2|4|1=25053305;2=25053306;3=25053307;4=25053308
05B栋|210|2|4|1=25053401;2=25053402;3=25053403;4=25053404
05B栋|211|2|4|1=25053405;2=25053406;3=25053407;4=25053408
05B栋|212|2|4|1=25054101;2=25054102;3=25054103;4=25054104
05B栋|213|2|4|1=25054105;2=25054106;3=25054107;4=25054108
05B栋|214|2|4|1=25054201;2=25054202;3=25054203;4=25054204
05B栋|215|2|4|1=25054205;2=25054206;3=25054207;4=25054208
05B栋|216|2|4|1=25054301;2=25054302;3=25054303;4=25054304
05B栋|217|2|4|1=25054305;2=25054306;3=25054307;4=25054308
05B栋|218|2|4|1=25054401;2=25054402;3=25054403;4=25054404
05B栋|219|2|4|1=25054405;2=25054406;3=25054407;4=25054408
05B栋|220|2|4|1=;2=;3=;4=
05B栋|221|2|4|1=;2=;3=;4=
05B栋|222|2|4|1=;2=;3=;4=
05B栋|223|2|4|1=;2=;3=;4=
05B栋|224|2|4|1=;2=;3=;4=
05B栋|225|2|4|1=;2=;3=;4=
05B栋|226|2|4|1=;2=;3=;4=
05B栋|227|2|4|1=;2=;3=;4=
05B栋|228|2|4|1=;2=;3=;4=
05B栋|229|2|4|1=;2=;3=;4=
05B栋|230|2|4|1=;2=;3=;4=
05B栋|231|2|4|1=;2=;3=;4=
05B栋|232|2|4|1=;2=;3=;4=
05B栋|233|2|4|1=;2=;3=;4=
05B栋|234|2|4|1=;2=;3=;4=
05B栋|235|2|4|1=;2=;3=;4=
05B栋|236|2|4|1=;2=;3=;4=
05B栋|237|2|4|1=;2=;3=;4=
05B栋|238|2|4|1=;2=;3=;4=
05B栋|239|2|4|1=;2=;3=;4=
05B栋|240|2|4|1=;2=;3=;4=
05B栋|241|2|4|1=;2=;3=;4=
05B栋|242|2|4|1=;2=;3=;4=
05B栋|243|2|4|1=;2=;3=;4=
05B栋|244|2|4|1=;2=;3=;4=
05B栋|245|2|4|1=;2=;3=;4=
06A栋|101|1|4|1=24061109;2=24061110;3=24061111;4=24061112
06A栋|102|1|4|1=24061113;2=24061114;3=24061115;4=24061116
06A栋|103|1|4|1=24061117;2=24061118;3=24061119;4=24061120
06A栋|104|1|4|1=24061121;2=24061122;3=24061123;4=24061124
06A栋|105|1|4|1=24061125;2=24061126;3=24061127;4=24061128
06A栋|106|1|4|1=24061129;2=24061130;3=24061131;4=24061132
06A栋|107|1|4|1=24061133;2=24061134;3=24061135;4=24061136
06A栋|108|1|4|1=24061137;2=24061138;3=24061139;4=24061140
06A栋|109|1|4|1=24061209;2=24061210;3=24061211;4=24061212
06A栋|110|1|4|1=24061213;2=24061214;3=24061215;4=24061216
06A栋|111|1|4|1=24061217;2=24061218;3=24061219;4=24061220
06A栋|112|1|4|1=24061221;2=24061222;3=24061223;4=24061224
06A栋|113|1|4|1=24061225;2=24061226;3=24061227;4=24061228
06A栋|114|1|4|1=24061229;2=24061230;3=24061231;4=24061232
06A栋|115|1|4|1=24061233;2=24061234;3=24061235;4=24061236
06A栋|116|1|4|1=24061237;2=24061238;3=24061239;4=24061240
06A栋|117|1|4|1=24061309;2=24061310;3=24061311;4=24061312
06A栋|118|1|4|1=24061313;2=24061314;3=24061315;4=24061316
06A栋|119|1|4|1=24061317;2=24061318;3=24061319;4=24061320
06A栋|120|1|4|1=24061321;2=24061322;3=24061323;4=24061324
06A栋|121|1|4|1=24061325;2=24061326;3=24061327;4=24061328
06A栋|122|1|4|1=24061329;2=24061330;3=24061331;4=24061332
06A栋|123|1|4|1=24061333;2=24061334;3=24061335;4=24061336
06A栋|124|1|4|1=24061337;2=24061338;3=24061339;4=24061340
06A栋|125|1|4|1=24061409;2=24061410;3=24061411;4=24061412
06A栋|126|1|4|1=24061413;2=24061414;3=24061415;4=24061416
06A栋|127|1|4|1=24061417;2=24061418;3=24061419;4=24061420
06A栋|128|1|4|1=24061421;2=24061422;3=24061423;4=24061424
06A栋|129|1|4|1=24061425;2=24061426;3=24061427;4=24061428
06A栋|130|1|4|1=24061429;2=24061430;3=24061431;4=24061432
06A栋|131|1|4|1=24061433;2=24061434;3=24061435;4=24061436
06A栋|132|1|4|1=24061437;2=24061438;3=24061439;4=24061440
06A栋|133|1|4|1=24062109;2=24062110;3=24062111;4=24062112
06A栋|134|1|4|1=24062113;2=24062114;3=24062115;4=24062116
06A栋|135|1|4|1=24062117;2=24062118;3=24062119;4=24062120
06A栋|136|1|4|1=24062121;2=24062122;3=24062123;4=24062124
06A栋|137|1|4|1=24062125;2=24062126;3=24062127;4=24062128
06A栋|138|1|4|1=24062129;2=24062130;3=24062131;4=24062132
06A栋|139|1|4|1=24062133;2=24062134;3=24062135;4=24062136
06A栋|140|1|4|1=24062137;2=24062138;3=24062139;4=24062140
06A栋|141|1|4|1=24062209;2=24062210;3=24062211;4=24062212
06A栋|142|1|4|1=24062213;2=24062214;3=24062215;4=24062216
06A栋|143|1|4|1=24062217;2=24062218;3=24062219;4=24062220
06A栋|144|1|4|1=24062221;2=24062222;3=24062223;4=24062224
06A栋|145|1|4|1=24062225;2=24062226;3=24062227;4=24062228
06A栋|201|2|4|1=24062229;2=24062230;3=24062231;4=24062232
06A栋|202|2|4|1=24062233;2=24062234;3=24062235;4=24062236
06A栋|203|2|4|1=24062237;2=24062238;3=24062239;4=24062240
06A栋|204|2|4|1=24062309;2=24062310;3=24062311;4=24062312
06A栋|205|2|4|1=24062313;2=24062314;3=24062315;4=24062316
06A栋|206|2|4|1=24062317;2=24062318;3=24062319;4=24062320
06A栋|207|2|4|1=24062321;2=24062322;3=24062323;4=24062324
06A栋|208|2|4|1=24062325;2=24062326;3=24062327;4=24062328
06A栋|209|2|4|1=24062329;2=24062330;3=24062331;4=24062332
06A栋|210|2|4|1=24062333;2=24062334;3=24062335;4=24062336
06A栋|211|2|4|1=24062337;2=24062338;3=24062339;4=24062340
06A栋|212|2|4|1=24062409;2=24062410;3=24062411;4=24062412
06A栋|213|2|4|1=24062413;2=24062414;3=24062415;4=24062416
06A栋|214|2|4|1=24062417;2=24062418;3=24062419;4=24062420
06A栋|215|2|4|1=24062421;2=24062422;3=24062423;4=24062424
06A栋|216|2|4|1=24062425;2=24062426;3=24062427;4=24062428
06A栋|217|2|4|1=24062429;2=24062430;3=24062431;4=24062432
06A栋|218|2|4|1=24062433;2=24062434;3=24062435;4=24062436
06A栋|219|2|4|1=24062437;2=24062438;3=24062439;4=24062440
06A栋|220|2|4|1=24063109;2=24063110;3=24063111;4=24063112
06A栋|221|2|4|1=24063113;2=24063114;3=24063115;4=24063116
06A栋|222|2|4|1=24063117;2=24063118;3=24063119;4=24063120
06A栋|223|2|4|1=24063121;2=24063122;3=24063123;4=24063124
06A栋|224|2|4|1=24063125;2=24063126;3=24063127;4=24063128
06A栋|225|2|4|1=24063129;2=24063130;3=24063131;4=24063132
06A栋|226|2|4|1=24063133;2=24063134;3=24063135;4=24063136
06A栋|227|2|4|1=24063137;2=24063138;3=24063139;4=24063140
06A栋|228|2|4|1=24063209;2=24063210;3=24063211;4=24063212
06A栋|229|2|4|1=24063213;2=24063214;3=24063215;4=24063216
06A栋|230|2|4|1=24063217;2=24063218;3=24063219;4=24063220
06A栋|231|2|4|1=24063221;2=24063222;3=24063223;4=24063224
06A栋|232|2|4|1=24063225;2=24063226;3=24063227;4=24063228
06A栋|233|2|4|1=24063229;2=24063230;3=24063231;4=24063232
06A栋|234|2|4|1=24063233;2=24063234;3=24063235;4=24063236
06A栋|235|2|4|1=24063237;2=24063238;3=24063239;4=24063240
06A栋|236|2|4|1=24063309;2=24063310;3=24063311;4=24063312
06A栋|237|2|4|1=24063313;2=24063314;3=24063315;4=24063316
06A栋|238|2|4|1=24063317;2=24063318;3=24063319;4=24063320
06A栋|239|2|4|1=24063321;2=24063322;3=24063323;4=24063324
06A栋|240|2|4|1=24063325;2=24063326;3=24063327;4=24063328
06A栋|241|2|4|1=24063329;2=24063330;3=24063331;4=24063332
06A栋|242|2|4|1=24063333;2=24063334;3=24063335;4=24063336
06A栋|243|2|4|1=24063337;2=24063338;3=24063339;4=24063340
06A栋|244|2|4|1=24063409;2=24063410;3=24063411;4=24063412
06A栋|245|2|4|1=24063413;2=24063414;3=24063415;4=24063416
06A栋|301|3|4|1=24063417;2=24063418;3=24063419;4=24063420
06A栋|302|3|4|1=24063421;2=24063422;3=24063423;4=24063424
06A栋|303|3|4|1=24063425;2=24063426;3=24063427;4=24063428
06A栋|304|3|4|1=24063429;2=24063430;3=24063431;4=24063432
06A栋|305|3|4|1=24063433;2=24063434;3=24063435;4=24063436
06A栋|306|3|4|1=24063437;2=24063438;3=24063439;4=24063440
06A栋|307|3|4|1=24064109;2=24064110;3=24064111;4=24064112
06A栋|308|3|4|1=24064113;2=24064114;3=24064115;4=24064116
06A栋|309|3|4|1=24064117;2=24064118;3=24064119;4=24064120
06A栋|310|3|4|1=24064121;2=24064122;3=24064123;4=24064124
06A栋|311|3|4|1=24064125;2=24064126;3=24064127;4=24064128
06A栋|312|3|4|1=24064129;2=24064130;3=24064131;4=24064132
06A栋|313|3|4|1=24064133;2=24064134;3=24064135;4=24064136
06A栋|314|3|4|1=24064137;2=24064138;3=24064139;4=24064140
06A栋|315|3|4|1=24064209;2=24064210;3=24064211;4=24064212
06A栋|316|3|4|1=24064213;2=24064214;3=24064215;4=24064216
06A栋|317|3|4|1=24064217;2=24064218;3=24064219;4=24064220
06A栋|318|3|4|1=24064221;2=24064222;3=24064223;4=24064224
06A栋|319|3|4|1=24064225;2=24064226;3=24064227;4=24064228
06A栋|320|3|4|1=24064229;2=24064230;3=24064231;4=24064232
06A栋|321|3|4|1=24064233;2=24064234;3=24064235;4=24064236
06A栋|322|3|4|1=24064237;2=24064238;3=24064239;4=24064240
06A栋|323|3|4|1=24064309;2=24064310;3=24064311;4=24064312
06A栋|324|3|4|1=24064313;2=24064314;3=24064315;4=24064316
06A栋|325|3|4|1=24064317;2=24064318;3=24064319;4=24064320
06A栋|326|3|4|1=24064321;2=24064322;3=24064323;4=24064324
06A栋|327|3|4|1=24064325;2=24064326;3=24064327;4=24064328
06A栋|328|3|4|1=24064329;2=24064330;3=24064331;4=24064332
06A栋|329|3|4|1=24064333;2=24064334;3=24064335;4=24064336
06A栋|330|3|4|1=24064337;2=24064338;3=24064339;4=24064340
06A栋|331|3|4|1=24064409;2=24064410;3=24064411;4=24064412
06A栋|332|3|4|1=24064413;2=24064414;3=24064415;4=24064416
06A栋|333|3|4|1=24064417;2=24064418;3=24064419;4=24064420
06A栋|334|3|4|1=24064421;2=24064422;3=24064423;4=24064424
06A栋|335|3|4|1=24064425;2=24064426;3=24064427;4=24064428
06A栋|336|3|4|1=24064429;2=24064430;3=24064431;4=24064432
06A栋|337|3|4|1=24064433;2=24064434;3=24064435;4=24064436
06A栋|338|3|4|1=24064437;2=24064438;3=24064439;4=24064440
06A栋|339|3|4|1=25061109;2=25061110;3=25061111;4=25061112
06A栋|340|3|4|1=25061113;2=25061114;3=25061115;4=25061116
06A栋|341|3|4|1=25061117;2=25061118;3=25061119;4=25061120
06A栋|342|3|4|1=25061121;2=25061122;3=25061123;4=25061124
06A栋|343|3|4|1=25061125;2=25061126;3=25061127;4=25061128
06A栋|344|3|4|1=25061129;2=25061130;3=25061131;4=25061132
06A栋|345|3|4|1=25061133;2=25061134;3=25061135;4=25061136
06A栋|401|4|4|1=25061137;2=25061138;3=25061139;4=25061140
06A栋|402|4|4|1=25061209;2=25061210;3=25061211;4=25061212
06A栋|403|4|4|1=25061213;2=25061214;3=25061215;4=25061216
06A栋|404|4|4|1=25061217;2=25061218;3=25061219;4=25061220
06A栋|405|4|4|1=25061221;2=25061222;3=25061223;4=25061224
06A栋|406|4|4|1=25061225;2=25061226;3=25061227;4=25061228
06A栋|407|4|4|1=25061229;2=25061230;3=25061231;4=25061232
06A栋|408|4|4|1=25061233;2=25061234;3=25061235;4=25061236
06A栋|409|4|4|1=25061237;2=25061238;3=25061239;4=25061240
06A栋|410|4|4|1=25061309;2=25061310;3=25061311;4=25061312
06A栋|411|4|4|1=25061313;2=25061314;3=25061315;4=25061316
06A栋|412|4|4|1=25061317;2=25061318;3=25061319;4=25061320
